Company_ID,Ticker,Company_Name,Sector,Fiscal_Year,Reporting_Date,Currency,Revenue,Operating_Profit,Net_Income,EPS,Operating_Margin,Operating_Margin_Pct,Net_Profit_Margin,Net_Profit_Margin_Pct,Operating_Loss_Flag,Net_Loss_Flag,EPS_Outlier_Flag,Anomaly_Net_Income_Exceeds_Revenue,Missing_Data_Flag
CMP-1939,LMI,Luxe Motors International,Consumer Cyclical,2021,2021-12-31,USD,,,,-1.98,0.0284,2.84,-0.0359,-3.59,False,False,False,False,True
CMP-1741,LMI,Luxe Motors International,Consumer Cyclical,2022,2022-12-31,USD,19523024814.63,-382364983.72,-1581621054.92,-4.09,-0.0196,-1.96,-0.081,-8.1,True,True,False,False,False
CMP-1519,LMI,Luxe Motors International,Consumer Cyclical,2022,2022-09-30,USD,16565559221.73,1030774584.88,83892853.11,0.1,0.0622,6.22,0.0051,0.51,False,False,False,False,False
CMP-1533,,Luxe Motors International,Consumer Cyclical,2022,2022-03-31,USD,15509508531.83,-683523948.79,-1154231777.49,-2.85,-0.0441,-4.41,-0.0744,-7.44,True,True,False,False,False
CMP-1121,LMI,Luxe Motors International,Consumer Cyclical,2023,2023-03-31,USD,54984500263.41,4215711258.82,376040000.0,0.27,0.077,7.7,0.007,0.7,False,False,False,False,False
CMP-1038,LMI,Luxe Motors International,Consumer Cyclical,2023,2023-12-31,USD,20291293986.29,3333859601.95,2380000000.0,2.2404,0.1643,16.43,0.1175,11.75,False,False,False,False,False
CMP-1796,LMI,Luxe Motors International,Consumer Cyclical,2024,2024-06-30,USD,1330000000.0,203520000.0,139210000.0,3.0406,0.1529,15.29,0.1046,10.46,False,False,False,False,False
CMP-1641,LMI,Luxe Motors International,Consumer Cyclical,2024,2024-06-30,USD,37109753224.93,2144943736.4,921421045.0,0.76,0.0578,5.78,0.0248,2.48,False,False,False,False,False
CMP-1066,LMI,Luxe Motors International,Consumer Cyclical,2024,2024-06-30,USD,38640000000.0,3629565805.5,2203833642.36,1.82,0.0939,9.39,0.057,5.7,False,False,False,False,False
CMP-1002,LMI,Luxe Motors International,Consumer Cyclical,2024,2024-09-30,USD,1230088736.84,55535199.94,19653234.11,0.46,0.0451,4.51,0.016,1.6,False,False,False,False,False
CMP-1503,LMI,Luxe Motors International,Consumer Cyclical,2024,2024-03-31,USD,41210565899.29,2281313096.26,115389584.52,0.12,0.0554,5.54,0.0028,0.28,False,False,False,False,False
CMP-1909,LMI,Luxe Motors International,Consumer Cyclical,2024,2024-03-31,USD,12202485633.07,-177925694.19,-962656423.98,-4.5,-0.0146,-1.46,-0.0789,-7.89,True,True,False,False,False
CMP-1154,,Metro Living Retail,Consumer Cyclical,2021,2021-06-30,USD,5687857746.86,298688782.16,139234987.54,0.57,0.053,5.3,0.024479,2.45,False,False,False,False,False
CMP-1766,MLR,Metro Living Retail,Consumer Cyclical,2021,2021-06-30,USD,3774345399.53,239670932.87,61826376.75,0.959,0.0635,6.35,0.0164,1.64,False,False,False,False,False
CMP-1554,MLR,Metro Living Retail,Consumer Cyclical,2021,2021-09-30,USD,50420000000.0,-1470265823.7,-3946549671.78,-2.4813,-0.0292,-2.92,-0.0783,-7.83,True,True,False,False,False
CMP-1093,MLR,Metro Living Retail,Consumer Cyclical,2021,2021-12-31,USD,45472514889.32,4351600689.63,2714477379.44,3.3,0.0957,9.57,0.0597,5.97,False,False,False,False,False
CMP-1026,MLR,Metro Living Retail,Consumer Cyclical,2022,2022-12-31,USD,51134316237.97,5629888217.8,2380000000.0,2.38,0.1101,11.01,0.0465,4.65,False,False,False,False,False
CMP-1804,MLR,Metro Living Retail,Consumer Cyclical,2022,2022-03-31,USD,53963373141.95,7938414685.3,4929686380.6,3.81,0.1471,14.71,0.091,9.1,False,False,False,False,False
CMP-1651,MLR,Metro Living Retail,Consumer Cyclical,2022,2022-09-30,USD,32686495352.3,3270000000.0,2492559487.91,3.3,0.0999,9.99,0.0763,7.63,False,False,False,False,False
CMP-1399,MLR,Metro Living Retail,Consumer Cyclical,2022,2022-09-30,USD,3468094528.38,10577975.24,-194171664.56,-2.0,0.003,0.3,-0.056,-5.6,False,True,False,False,False
CMP-1473,MLR,Metro Living Retail,Consumer Cyclical,2022,2022-06-30,USD,53463092596.77,6100000000.0,3400090557.43,1.95,0.114,11.4,0.0636,6.36,False,False,False,False,False
CMP-1377,MLR,Metro Living Retail,Consumer Cyclical,2023,2023-09-30,USD,17905923046.03,1549087251.93,892833459.54,2.25,0.0865,8.65,0.05,5.0,False,False,False,False,False
CMP-1032,MLR,Metro Living Retail,Consumer Cyclical,2023,2023-09-30,USD,28581605133.71,669283771.6,-1291102919.29,-2.63,0.0234,2.34,-0.0452,-4.52,False,True,False,False,False
CMP-1842,,Metro Living Retail,Consumer Cyclical,2023,2023-12-31,USD,10271342510.54,261919234.02,-37602427.0,-0.19,0.0255,2.55,-0.0037,-0.37,False,True,False,False,False
CMP-1546,MLR,Metro Living Retail,Consumer Cyclical,2023,2023-09-30,USD,37358980621.32,5625160627.54,4859056479.73,5.67,0.1506,15.06,0.1301,13.01,False,False,False,False,False
CMP-1308,MLR,Metro Living Retail,Consumer Cyclical,2023,2023-03-31,USD,13670000000.0,247427000.0,-565490906.43,-1.85,0.0181,1.81,-0.0414,-4.14,False,True,False,False,False
CMP-1014,MLR,Metro Living Retail,Consumer Cyclical,2023,2023-03-31,USD,21438383203.95,2710283817.58,1908016105.15,2.45,0.126,12.6,0.089,8.9,False,False,False,False,False
CMP-1653,MLR,Metro Living Retail,Consumer Cyclical,2023,2023-03-31,USD,52811444681.86,2383445840.67,-49734896.18,-0.06,0.0451,4.51,-0.001,-0.1,False,True,False,False,False
CMP-1721,MLR,Metro Living Retail,Consumer Cyclical,2024,2024-06-30,USD,23927751401.71,1711894826.23,,1.33,0.0715,7.15,,,False,False,False,False,True
CMP-1034,MLR,Metro Living Retail,Consumer Cyclical,2024,2024-06-30,USD,15737743141.32,1355662743.65,645360000.0,0.7,0.086141,8.61,0.041007,4.1,False,False,False,False,False
CMP-1875,MLR,Metro Living Retail,Consumer Cyclical,2024,2024-12-31,USD,44975690817.11,5800083569.48,3198131656.12,1.24,0.129,12.9,0.0711,7.11,False,False,False,False,False
CMP-1145,MLR,Metro Living Retail,Consumer Cyclical,2024,2024-03-31,USD,13960000000.0,-719265696.01,-1496316251.58,-5.93,-0.052,-5.2,-0.1072,-10.72,True,True,False,False,False
CMP-1560,NAI,Nextgen Apparel,Consumer Cyclical,2024,2024-12-31,USD,20116195678.04,3892147339.32,3348453875.81,6.1,0.1935,19.35,0.1665,16.65,False,False,False,False,False
CMP-1920,NAI,Nextgen Apparel Inc,Consumer Cyclical,2021,2021-09-30,USD,34290000000.0,1270000000.0,-350580591.51,-0.35,0.0371,3.71,-0.0102,-1.02,False,True,False,False,False
CMP-1363,NAI,Nextgen Apparel Inc,Consumer Cyclical,2021,2021-03-31,USD,48642934837.83,4297745550.09,2770000000.0,1.4,0.0884,8.84,0.0569,5.69,False,False,False,False,False
CMP-1166,NAI,Nextgen Apparel Inc,Consumer Cyclical,2021,2021-09-30,USD,19252867833.21,1736608678.56,1176775785.29,,0.0902,9.02,0.0611,6.11,False,False,False,False,True
CMP-1723,NAI,Nextgen Apparel Inc,Consumer Cyclical,2021,2021-06-30,USD,13387012190.95,1001276957.86,255585088.4,0.36,0.0748,7.48,0.0191,1.91,False,False,False,False,False
CMP-1652,NAI,Nextgen Apparel Inc,Consumer Cyclical,2021,2021-12-31,USD,53966663238.25,6094050317.92,2564903630.24,2.73,0.1129,11.29,0.0475,4.75,False,False,False,False,False
CMP-1143,NAI,Nextgen Apparel Inc,Consumer Cyclical,2021,2021-12-31,USD,11587366538.55,495939287.85,49324429.63,,0.0428,4.28,0.43,43.0,False,False,False,False,True
CMP-1846,NAI,Nextgen Apparel Inc,Consumer Cyclical,2021,2021-06-30,USD,43796358654.18,4870152653.74,3511361290.35,,0.1112,11.12,0.0802,8.02,False,False,False,False,True
CMP-1754,NAI,Nextgen Apparel Inc,Consumer Cyclical,2022,2022-03-31,USD,,,3473309973.36,4.37,0.145,14.5,0.1166,11.66,False,False,False,False,True
CMP-1463,NAI,Nextgen Apparel Inc,Consumer Cyclical,2022,2022-06-30,USD,4525023105.27,739524466.7,484326895.43,4.0,0.1634,16.34,0.107,10.7,False,False,False,False,False
CMP-1859,NAI,Nextgen Apparel Inc,Consumer Cyclical,2022,2022-06-30,USD,6226455697.65,386040253.25,71568022.4,0.318,0.062,6.2,0.011,1.1,False,False,False,False,False
CMP-1806,NAI,Nextgen Apparel Inc,Consumer Cyclical,2022,2022-12-31,USD,37296485602.21,4233057892.74,3175036723.53,3.1937,0.1135,11.35,0.085,8.5,False,False,False,False,False
CMP-1289,NAI,Nextgen Apparel Inc,Consumer Cyclical,2022,2022-09-30,USD,34479495657.56,4253128706.25,3337275933.59,1.594,0.1234,12.34,0.0968,9.68,False,False,False,False,False
CMP-1256,NAI,Nextgen Apparel Inc,Consumer Cyclical,2023,2023-03-31,USD,3275562943.33,188659467.07,-1034684.46,-0.015,0.0576,5.76,-0.000316,-0.03,False,True,False,False,False
CMP-1944,NAI,Nextgen Apparel Inc,Consumer Cyclical,2023,2023-06-30,USD,8675462785.39,1009072764.53,584926330.75,3.64,0.1163,11.63,0.0674,6.74,False,False,False,False,False
CMP-1675,NAI,Nextgen Apparel Inc,Consumer Cyclical,2023,2023-12-31,USD,36040322708.94,4950000000.0,3960251414.01,,0.137346,13.73,0.1099,10.99,False,False,False,False,True
CMP-1755,NAI,Nextgen Apparel Inc,Consumer Cyclical,2024,2024-09-30,USD,22716499417.37,3260000000.0,1812476404.23,3.4639,0.1433,14.33,0.079787,7.98,False,False,False,False,False
CMP-1242,NAI,Nextgen Apparel Inc,Consumer Cyclical,2024,2024-03-31,USD,17599512410.97,2324295471.64,1430360632.23,2.071,0.1321,13.21,0.0813,8.13,False,False,False,False,False
CMP-1469,,Nextgen Apparel Inc,Consumer Cyclical,2024,2024-12-31,USD,7744570874.36,613050000.0,251991248.56,1.09,0.0792,7.92,0.0325,3.25,False,False,False,False,False
CMP-1071,NAI,Nextgen Apparel Inc,Consumer Cyclical,2024,2024-09-30,USD,4785575828.16,419757499.77,311679643.43,2.53,0.0877,8.77,0.0651,6.51,False,False,False,False,False
CMP-1106,PC,Primeconsumer,Consumer Cyclical,2021,2021-06-30,USD,3191049834.93,498660000.0,341760975.59,6.24,0.1563,15.63,0.1071,10.71,False,False,False,False,False
CMP-1081,PC,Primeconsumer,Consumer Cyclical,2022,2022-06-30,USD,34459709372.71,5492733922.89,3936643273.16,6.12,0.1594,15.94,0.1142,11.42,False,False,False,False,False
CMP-1476,PC,Primeconsumer,Consumer Cyclical,2023,2023-12-31,USD,47320000000.0,2946603245.74,326508000.0,0.27,0.0623,6.23,0.0069,0.69,False,False,False,False,False
CMP-1847,PC,Primeconsumer Corp,Consumer Cyclical,2021,2021-12-31,USD,48086540354.45,1025674748.61,-536341867.04,-0.2994,0.0213,2.13,-0.011,-1.1,False,True,False,False,False
CMP-1833,PC,Primeconsumer Corp,Consumer Cyclical,2021,2021-03-31,USD,36730000000.0,-2180000000.0,-4340373521.2,-6.36,-0.059,-5.9,-0.1182,-11.82,True,True,False,False,False
CMP-1367,PC,Primeconsumer Corp,Consumer Cyclical,2022,2022-12-31,USD,24902045562.67,754740189.64,,,0.0303,3.03,,,False,False,False,False,True
CMP-1644,PC,Primeconsumer Corp,Consumer Cyclical,2022,2022-06-30,USD,34737606283.58,509086325.53,-1849482717.29,-2.0676,0.014655,1.47,-0.0532,-5.32,False,True,False,False,False
CMP-1612,PC,Primeconsumer Corp,Consumer Cyclical,2022,2022-09-30,USD,27210390821.09,4740000000.0,3236236857.75,1.81,0.1741,17.41,0.118934,11.89,False,False,False,False,False
CMP-1757,PC,Primeconsumer Corp,Consumer Cyclical,2022,2022-12-31,USD,7940000000.0,198446703.1,-235217045.43,-0.72,0.025,2.5,-0.0296,-2.96,False,True,False,False,False
CMP-1017,PC,Primeconsumer Corp,Consumer Cyclical,2022,2022-12-31,USD,4165051380.2,555055187.23,397102750.75,1.93,0.1333,13.33,0.0953,9.53,False,False,False,False,False
CMP-1395,PC,Primeconsumer Corp,Consumer Cyclical,2023,2023-12-31,USD,27690877597.84,1720000000.0,610817327.99,0.5,0.062114,6.21,0.022,2.2,False,False,False,False,False
CMP-1805,PC,Primeconsumer Corp,Consumer Cyclical,2023,2023-12-31,EUR,3030000000.0,342130602.17,212680000.0,3.2,0.113,11.3,0.0702,7.02,False,False,False,False,False
CMP-1490,PC,Primeconsumer Corp,Consumer Cyclical,2023,2023-12-31,USD,43650048139.06,5675747680.71,2825086883.35,,0.13,13.0,0.0647,6.47,False,False,True,False,True
CMP-1607,PC,Primeconsumer Corp,Consumer Cyclical,2023,2023-09-30,USD,3541660227.04,286600845.76,67135053.45,0.29,0.0809,8.09,0.018956,1.9,False,False,False,False,False
CMP-1589,PC,Primeconsumer Corp,Consumer Cyclical,2024,2024-03-31,USD,45894538375.34,6030405864.9,3414553655.13,1.59,0.1314,13.14,0.0744,7.44,False,False,False,False,False
CMP-1724,PC,Primeconsumer Corporation,Consumer Cyclical,2023,2023-03-31,USD,11039941472.03,1121116908.21,892730573.18,2.12,0.1016,10.16,0.0809,8.09,False,False,False,False,False
CMP-1613,SLB,Summit Leisure Brands,Consumer Cyclical,2021,2021-06-30,USD,,2911515.39,-512747391.68,-2.49,0.0003,0.03,-0.0553,-5.53,False,True,False,False,True
CMP-1447,SLB,Summit Leisure Brands,Consumer Cyclical,2021,2021-12-31,USD,22752939062.59,2282648342.67,1036221696.51,0.69,0.1003,10.03,0.0455,4.55,False,False,False,False,False
CMP-1190,SLB,Summit Leisure Brands,Consumer Cyclical,2021,2021-12-31,USD,47857310277.21,11118280487.41,9210000000.0,3.36,0.2323,23.23,0.1924,19.24,False,False,False,False,False
CMP-1880,SLB,Summit Leisure Brands,Consumer Cyclical,2021,2021-12-31,USD,6680000000.0,626500000.0,396655329.86,2.21,0.0938,9.38,0.0594,5.94,False,False,False,False,False
CMP-1550,SLB,Summit Leisure Brands,Consumer Cyclical,2022,2022-09-30,USD,31788273781.73,-1194076074.59,-2990000000.0,-4.17,-0.038,-3.8,-0.094,-9.4,True,True,False,False,False
CMP-1781,SLB,Summit Leisure Brands,Consumer Cyclical,2022,2022-12-31,USD,23424311273.46,457160000.0,-1074596236.96,-1.73,0.0195,1.95,-0.0459,-4.59,False,True,False,False,False
CMP-1033,SLB,Summit Leisure Brands,Consumer Cyclical,2022,2022-09-30,USD,13922848040.81,2286654093.7,1662041363.58,3.41,0.1642,16.42,0.1194,11.94,False,False,False,False,False
CMP-1221,SLB,Summit Leisure Brands,Consumer Cyclical,2022,2022-12-31,USD,50300000000.0,8763964643.11,6704706998.67,4.3,0.1742,17.42,0.133,13.3,False,False,False,False,False
CMP-1168,SLB,Summit Leisure Brands,Consumer Cyclical,2022,2022-03-31,USD,7773503476.78,344591921.97,125512850.39,0.362,0.0443,4.43,0.0161,1.61,False,False,False,False,False
CMP-1387,SLB,Summit Leisure Brands,Consumer Cyclical,2023,2023-09-30,USD,51538984484.41,1371722126.65,-1090000000.0,-0.61,0.0266,2.66,-0.021,-2.1,False,True,False,False,False
CMP-1733,SLB,Summit Leisure Brands,Consumer Cyclical,2023,2023-12-31,USD,23575313220.31,824283152.75,-168880567.95,-0.32,0.035,3.5,-0.0072,-0.72,False,True,False,False,False
CMP-1933,SLB,Summit Leisure Brands,Consumer Cyclical,2023,2023-09-30,USD,11690814246.44,507365220.76,-166300000.0,-0.25,0.043,4.3,-0.014225,-1.42,False,True,False,False,False
CMP-1955,SLB,Summit Leisure Brands,Consumer Cyclical,2024,2024-12-31,USD,12909971963.45,439563819.62,-222051517.77,-0.84,0.034048,3.4,-0.0172,-1.72,False,True,False,False,False
CMP-1403,SLB,Summit Leisure Brands,Consumer Cyclical,2024,2024-12-31,USD,23491977775.58,3165452737.88,2542080919.1,,0.1347,13.47,0.108211,10.82,False,False,False,False,True
CMP-1478,SLB,Summit Leisure Brands,Consumer Cyclical,2024,2024-12-31,USD,9201022254.96,488548397.95,115094757.25,0.5541,0.053097,5.31,0.0125,1.25,False,False,False,False,False
CMP-1493,SLB,Summit Leisure Brands,Consumer Cyclical,2024,2024-12-31,USD,33879861576.33,4257149768.36,3440000000.0,5.552,0.1257,12.57,0.1015,10.15,False,False,False,False,False
CMP-1312,TB,Trendset Brands,Consumer Cyclical,2021,2021-06-30,USD,47770000000.0,6495167916.02,4523553009.5,2.89,0.136,13.6,0.0947,9.47,False,False,False,False,False
CMP-1162,TB,Trendset Brands,Consumer Cyclical,2021,2021-03-31,USD,15950000000.0,185792631.88,-516732325.33,-1.263,0.0117,1.17,-0.0324,-3.24,False,True,False,False,False
CMP-1413,TB,Trendset Brands,Consumer Cyclical,2021,2021-12-31,USD,46263849710.48,589894528.6,-424270000.0,-0.51,0.0128,1.28,-0.0092,-0.92,False,True,False,False,False
CMP-1191,TB,Trendset Brands,Consumer Cyclical,2021,2021-09-30,USD,18502328566.36,2061846949.31,949067463.15,0.78,0.111,11.1,0.0,0.0,False,False,False,False,False
CMP-1336,TB,Trendset Brands,Consumer Cyclical,2021,2021-06-30,USD,47760000000.0,5389015926.9,2430984000.0,2.93,0.1128,11.28,0.0509,5.09,False,False,False,False,False
CMP-1109,TB,Trendset Brands,Consumer Cyclical,2021,2021-03-31,USD,30506600213.63,4240730378.04,2150000000.0,2.7,0.139,13.9,0.070477,7.05,False,False,False,False,False
CMP-1279,TB,Trendset Brands,Consumer Cyclical,2022,2022-12-31,USD,17866201031.31,865647397.32,71813503.08,0.2,0.0485,4.85,0.4,40.0,False,False,False,False,False
CMP-1310,TB,Trendset Brands,Consumer Cyclical,2022,2022-03-31,USD,12673376821.14,155882534.9,-526938665.17,-0.76,0.0123,1.23,-0.042,-4.2,False,True,False,False,False
CMP-1822,TB,Trendset Brands,Consumer Cyclical,2022,2022-06-30,USD,12692181159.37,-301996107.3,-619920000.0,-1.1,-0.0238,-2.38,-0.049,-4.9,True,True,False,False,False
CMP-1482,TB,Trendset Brands,Consumer Cyclical,2023,2023-09-30,USD,41645657662.31,-283190472.1,-2942648265.07,-3.86,-0.0068,-0.68,-0.0707,-7.07,True,True,False,False,False
CMP-1233,TB,Trendset Brands,Consumer Cyclical,2023,2023-06-30,USD,40299146263.88,2676882350.77,245824792.21,,0.066,6.6,0.0061,0.61,False,False,False,False,True
CMP-1280,TB,Trendset Brands,Consumer Cyclical,2023,2023-12-31,USD,37612916175.7,-829726379.01,-3457222714.58,-3.1415,-0.0221,-2.21,-0.0919,-9.19,True,True,False,False,False
CMP-1400,TB,Trendset Brands,Consumer Cyclical,2023,2023-09-30,USD,3293192373.25,152083109.16,66232063.86,,0.0462,4.62,0.0201,2.01,False,False,False,False,True
CMP-1040,TB,Trendset Brands,Consumer Cyclical,2024,2024-06-30,USD,2338555271.36,426543822.34,377833139.18,6.15,0.1824,18.24,0.1616,16.16,False,False,False,False,False
CMP-1047,TB,Trendset Brands,Consumer Cyclical,2024,2024-03-31,USD,49365576946.43,7473948349.69,,4.36,0.1514,15.14,0.0871,8.71,False,False,False,False,True
CMP-1094,TB,Trendset Brands,Consumer Cyclical,2024,2024-12-31,USD,21467172162.51,1370000000.0,-80835196.85,-0.2,0.0637,6.37,-0.0038,-0.38,False,True,False,False,False
CMP-1474,TB,Trendset Brands,Consumer Cyclical,2024,2024-06-30,USD,6363858590.35,346159370.57,139026381.58,1.16,0.054395,5.44,0.021846,2.18,False,False,False,False,False
CMP-1494,TB,Trendset Brands,Consumer Cyclical,2024,2024-03-31,EUR,44217834095.74,4920459648.13,3112478682.55,4.2,0.111,11.1,0.0704,7.04,False,False,False,False,False
CMP-1258,TB,Trendset Brands,Consumer Cyclical,2024,2024-06-30,USD,12387587053.76,2743139260.72,2140000000.0000002,3.3,0.2214,22.14,0.172754,17.28,False,False,False,False,False
CMP-1655,TB,Trendset Brands,Consumer Cyclical,2024,2024-03-31,USD,35270000000.0,190480000.0,-1690000000.0,,0.0054,0.54,-0.0479,-4.79,False,True,False,False,True
CMP-1067,TB,Trendset Brands,Consumer Cyclical,2024,2024-12-31,USD,5259608497.26,476367240.26,219098713.15,0.69,0.0906,9.06,0.0417,4.17,False,False,False,False,False
CMP-1713,UOG,Urban Outfitters,Consumer Cyclical,2024,2024-12-31,USD,34338317928.14,3129647705.26,1329453112.14,1.05,0.0911,9.11,0.0387,3.87,False,False,False,False,False
CMP-1420,UOG,Urban Outfitters Group,Consumer Cyclical,2021,2021-03-31,USD,9660000000.0,936430000.0,374116101.52,1.0,0.097,9.7,0.0387,3.87,False,False,False,False,False
CMP-1578,UOG,Urban Outfitters Group,Consumer Cyclical,2021,2021-12-31,USD,25500000000.0,2019458650.32,408379285.89,0.66,0.0792,7.92,0.016,1.6,False,False,False,False,False
CMP-1802,UOG,Urban Outfitters Group,Consumer Cyclical,2021,2021-03-31,USD,12670000000.0,1547929393.9,706234321.96,1.69,0.1222,12.22,0.0558,5.58,False,False,False,False,False
CMP-1779,UOG,Urban Outfitters Group,Consumer Cyclical,2021,2021-06-30,USD,8690571708.6,857198673.13,477450000.0,2.6,0.0986,9.86,0.0549,5.49,False,False,False,False,False
CMP-1250,UOG,Urban Outfitters Group,Consumer Cyclical,2022,2022-06-30,USD,,-1956858973.39,-4890000000.0,-2.23,,,-0.09,-9.0,True,True,False,False,True
CMP-1207,UOG,Urban Outfitters Group,Consumer Cyclical,2022,2022-03-31,USD,13176234679.47,951051280.39,619283029.94,1.22,0.0722,7.22,0.047,4.7,False,False,False,False,False
CMP-1082,UOG,Urban Outfitters Group,Consumer Cyclical,2023,2023-12-31,USD,36262280375.88,2460000000.0,673164610.32,1.064,0.0679,6.79,0.0186,1.86,False,False,False,False,False
CMP-1579,UOG,Urban Outfitters Group,Consumer Cyclical,2023,2023-09-30,USD,20705611944.79,2141609889.93,1431631480.99,1.67,0.1034,10.34,0.0691,6.91,False,False,False,False,False
CMP-1571,UOG,Urban Outfitters Group,Consumer Cyclical,2023,2023-03-31,USD,7741898903.88,848799439.69,522074370.85,2.91,0.1096,10.96,0.0674,6.74,False,False,False,False,False
CMP-1186,UOG,Urban Outfitters Group,Consumer Cyclical,2023,2023-06-30,USD,,,2507250607.58,2.68,0.093,9.3,0.0654,6.54,False,False,False,False,True
CMP-1206,UOG,Urban Outfitters Group,Consumer Cyclical,2023,2023-09-30,EUR,12786006332.69,1098634354.91,728770569.27,2.5292,0.0859,8.59,0.057,5.7,False,False,False,False,False
CMP-1056,UOG,Urban Outfitters Group,Consumer Cyclical,2024,2024-12-31,USD,10818840030.11,240384482.11,10854153.96,0.044,0.0222,2.22,0.001003,0.1,False,False,False,False,False
CMP-1300,UOG,Urban Outfitters Group,Consumer Cyclical,2024,2024-03-31,USD,1922850672.65,133175256.93,81958614.63,1.73,0.0693,6.93,0.0426,4.26,False,False,False,False,False
CMP-1104,UOG,Urban Outfitters Group,Consumer Cyclical,2024,2024-06-30,USD,42770000000.0,,-4599084732.01,-2.15,,,-0.107531,-10.75,False,True,False,False,True
CMP-1835,UOG,Urban Outfitters Group,Consumer Cyclical,2024,2024-09-30,USD,20493552718.08,1807722140.21,1200000000.0,2.164,0.0882,8.82,0.058555,5.86,False,False,False,False,False
CMP-1677,VM,Velocity Motors,Consumer Cyclical,2021,2021-06-30,USD,42128516603.32,-842430000.0,-1685022670.87,-1.35,-0.02,-2.0,-0.04,-4.0,True,True,False,False,False
CMP-1588,VM,Velocity Motors,Consumer Cyclical,2021,2021-12-31,USD,11667702516.31,558453575.51,316748205.12,1.3086,0.0479,4.79,0.027147,2.71,False,False,False,False,False
CMP-1777,VM,Velocity Motors,Consumer Cyclical,2021,2021-09-30,USD,41273781135.02,4610281352.78,1911737719.44,2.276,0.1117,11.17,0.0463,4.63,False,False,False,False,False
CMP-1592,VM,Velocity Motors,Consumer Cyclical,2021,2021-09-30,USD,4362948473.47,-80350000.0,-182010000.0,-1.28,-0.0184,-1.84,-0.042,-4.2,True,True,False,False,False
