Company_ID,Ticker,Company_Name,Sector,Reporting_Period,Revenue,Operating_Profit,Net_Income,EPS,Operating_Margin,Net_Profit_Margin,Currency
CMP-1034,mlr,Metro Living Retail,Consumer Discretionary,06/30/2024,"$15,737,743,141.32",1355662743.65,$ 645.36M,0.7,null,None,USD
CMP-1232,BL,BioGenix Laboratories,Health Care,2022-03-31,"61,769,409,010.05","(USD 3,773,842,951.00)",-6682876194.28,(5.87),(6.1%),-0.1082,USD
CMP-1057,VHS,,HEALTHCARE,2021,"11,578,025,307.11",3.55B,null,$ 13.86,30.63%,0.2393,USD
CMP-1695, DS ,DataSphere Solutions,IT,2021-03-31,$ 69.48B,None,USD 15.79B,13.30,0.2746,22.7%,USD
CMP-1026,MLR,METRO LIVING RETAIL,Cons. Cyclical,31-12-2022,NA,5629888217.80,$ 2.38B,$ 2.38,0.1101,4.65%,USD
CMP-1666,HCP,Helios Clean Power, Oil & Gas ,06/30/2024,TBD,"(1,363,515,611.34)",-1585624005.66,(2.60),-13.47,-15.67,USD
CMP-1293,VHS,Vitas Health Systems,Health Care,FY2021,US$ 51.86B,7660071486.59,$5.82B,$3.98,14.77%,11.22%,USD
CMP-1362,PEC,petrodyn energy corp,energy,2021-09-30,4602484354.78, 1035342847.09 ,"$ 804,847,710.50",error,22.50%,,USD
CMP-1334,PHG,pulse health group,Health Care,31-03-2024, 20070811808.10 ,-3108278.97,null,-3.16,-0.02,(5.4%),USD
CMP-1150,CFC,Continental Freight Corp,industrials,2022-09-30,$37.91B,"USD 1,850,616,103.92",US$ 74.54M,0.08,-,0.0020,USD
CMP-1470,NSC,Nexus Software Corp,Tech,2021-09-30,TBD,USD 7.40B, 5973022413.63 ,11.53,24.96,20.2%,USD
CMP-1083,AHM,Atlas Heavy Machinery,Manufacturing ,2021/06/30,"USD 27,673,703,636.70","$3,162,073,826.09",$ 2.07B,3.29,11.4%,7.49%,USD
CMP-1866,,Nordic Gas Corp,energy,2021-06-30,,-4138516177.32,"-$7,775,713,128.91",-7.6875,-0.071,(13.3%),$
CMP-1632,NGC,Nordic Gas Corporation,Energy,12/31/2022,"33,395,033,554.40",None,8323736434.82,13.240,31.80,24.9%,USD
CMP-1316,ALG,Aura Lifestyle Goods,Consumer Discretionary,2024-06-30,15297846068.20,US$ 1.96B,1491490809.93,4.2,12.80%,9.7%,USD
CMP-1531,PSC,Precision Systems Corp,Industrials,2021-06-30,null,537210504.50,USD 422.16M,3.76,15.28%,12.01,
CMP-1172,BCC,bluestone credit corp, Financial Services ,FY2021,89788842807.1,USD 10.95B,103.26B,37.12,12.20%,115.00%,$
CMP-1597,VRI,Vortex Resources Inc,Energy,2021-06-30,27054925146.87,$ 332.15M,-$1.30B,($2.72),1.23%,-4.79%,USD
CMP-1345,NGC,  Nordic Gas Corp  ,Other,2022,11859755732.52,"USD 3,016,783,236.22","2,456,712,736.53",$ 3.16,25.4%,20.71%,USD
CMP-1755,NAI,NextGen Apparel Inc,consumer cyclical,2024/09/30, 22716499417.37 ,3.26B,"$1,812,476,404.23",3.4639,14.33%,N/A,USD
CMP-1658,AF,Apex Financial,Fin Services,31-03-2024,"$76,233,333,557.94",16041998576.80,11284878131.26,NA,21.04%,14.80%,usd
CMP-1359,ds,DataSphere Solutions,TECHNOLOGY,09/30/2022,57942849908.93,"$ 1,714,099,811.51","USD 29,590,065.92",$0.02,0.0296,0.1%,
CMP-1164,BI,ByteWave Interactive,Information Technology,2024/03/31,"5,527,366,244.61",$ 816.74M,517851329.08,USD 4.61,14.78,9.37%,USD
CMP-1914,vhs,Vitas Health Systems,HealthCare ,30-06-2023, 59485742755.02 ,-,12524558371.78,$ 8.03,25.47,21.05%,USD
CMP-1943,BI,  ByteWave Interactive  , Tech ,2023-03-31,23114138477.15,3155001997.84,"$2,598,841,576.93",6.71,0.1365,11.24%,usd
CMP-1923,AH,Apex Hydrocarbons,Energy & Power,06/30/2022,"57,431,472,265.84",US$ 5.72B,"4,100,310,349.34",$ 1.82,10.0%,7.14,USD
CMP-1108,PHG,Pulse Health,Healthcare,2024-06-30,$ 14.60B,"2,352,038,559.47",1335463867.06,1.7,16.11%,9.15,USD
CMP-1526, BL ,BioGenix Laboratories,Healthcare,31-12-2024,"USD 20,656,172,479.40",7970162842.23,6935367682.12,18.5213,38.58,33.6%,USD
CMP-1957,BCG,Beacon Capital Group,Financial Services,FY2023,$ 41.16B,12862998531.85,11055169796.11,,31.25,26.86,$
CMP1836,TMW,TITAN MACHINE WORKS,industrials,2022-06-30,"$ 35,629,792,713.91",(4372947800.21),"-$ 6,578,842,461.97",-5.773,-0.1227,-0.1846,$
CMP-1915,PEC,PetroDyn Energy Corp,Energy & Power,30-09-2023,"29,650,252,600.76","$ 1,625,198,290.68",$182.65M,USD 0.18,5.48,0.62%,USD
CMP-1829,TO&G,Titan Oil & Gas Ltd,energy,2021-09-30,13460532130.43,"1,520,787,612.70",$ 860.75M,$2.41,N/A,6.39%,EUR
CMP-1420,UOG,  Urban Outfitters Group  ,Consumer Discretionary,2021/03/31,$ 9.66B,US$ 936.43M,"374,116,101.52",1.0,0.097,0.0387,-
CMP-1613,SLB,Summit Leisure Brands,Consumer Cyclical,2021-06-30,-,"2,911,515.39",-512747391.68,($2.49),0.0003,-5.53,usd
CMP-1799,AQC,Apex Quantum Corp,Information Technology,2022-09-30, 52716798073.08 ,US$ 15.58B,13042147328.81,$10.66,29.56%,24.74,USD
CMP-1758,VM,  Velocity Motors  ,consumer cyclical,30-09-2023,"21,613,079,588.02",1557757949.27,576734794.38,$0.90,7.21%,2.67,usd
CMP-1707,AD,Aeroflux Dynamics,INDUSTRIALS,FY2023,47060055316.31,"3,437,144,561.83",2337109776.46,USD 1.90,150.0%,0.0497,USD
CMP-1330,OG,OmniSoft Group,IT,2022-03-31,26975845507.28,USD 4.03B,$3.29B,$ 7.24,N/A,12.19%,USD
CMP-1046, VTC ,Vanguardian Trust Co,Financial Services,2024-03-31,"USD 108,080,041,442.45",USD 14.70B,10649707575.77,4.7,13.60,9.9%,USD
CMP-1576,AS,AlphaBio Sciences,Bio/Pharma,FY2023,8561950161.02,788.71M,"277,470,336.95",0.89,9.21%,3.24,USD
CMP-1535,SWP,STERLING WEALTH PARTNERS,Financial Services,31-12-2021,35430612138.01,7874346924.53,USD 5.52B,USD 5.12,0.2222,15.57,USD
CMP-1224,VRB,  Velox Retail Brands  ,Consumer Discretionary,2024-12-31,"$39,575,620,194.62","USD 4,528,955,518.47",2795443619.03,$ 3.17,11.44%,7.06,USD
CMP-1547,FGHI,Foundry Global Heavy Industries,Manufacturing ,03/31/2024,43.85B,($ 498.94M), -2718916860.30 ,(3.37),N/A,-6.20%,USD
CMP-1942,AS,AlphaBio Sciences,HEALTHCARE,03/31/2022,USD 25.85B,"$5,870,777,624.64",USD 4.89B,$ 8.55,-120.5%,18.91%,USD
CMP-1048,VTC,Vanguardian Trust Co,Fin Services,2024-12-31,N/A,23348173535.75,21769671601.92,5.521,30.26%,28.22,$
CMP-1276,AB,Aegis BioLabs,HEALTHCARE,FY2021,USD 44.74B,5376576339.57,#VALUE!,$1.17,12.02,-,USD
CMP-1685,VRI,  Vortex Resources Inc  ,,2023/03/31,16311863228.10,USD 2.95B,"USD 1,991,877,326.79",5.04,18.11,N/A,USD
CMP-1019,DS,,Tech,FY2024,"27,741,804,873.97",9763940092.17,"$ 31,903,075,605.06",50.24,35.20%,115.00%,$
CMP-1395,PC,PrimeConsumer Corp,Consumer Cyclical,2023/12/31,27690877597.84,$1.72B,610817327.99,0.5,,2.2%,USD
CMP-1824,AQC,apex quantum corp, Tech ,03/31/2021, 82264560328.12 ,1294384161.93,"(USD 3,634,468,988.70)",-1.3113,0.0157,(4.4%),USD
CMP-1637,BL,  BioGenix Laboratories  ,Healthcare,FY2021,USD 51.05B,7.32B,3770195932.69,USD 2.92,0.1434,0.0738,USD
CMP-1113, PFH ,Pinnacle Financial Holdings,Fin Services,12/31/2021,22818102818.93,$8.62B,"7,631,423,041.99",9999.0,37.8%,33.44%,usd
CMP-1913,OG,OmniSoft Group, Tech ,2023-06-30,"71,819,902,386.31", 18162052651.40 ,null,6.7742,25.29%,21.13%,USD
CMP-1803,bcg,beacon capital group, Financial Services ,30-09-2023,$ 63.46B,$ 18.78B,16838896028.06,15.9,29.59%,0.2653,USD
CMP-1586, SD ,SteriMed Diagnostics,Healthcare,2021-03-31,44726914994.59,"$13,521,557,290.30",12326375560.14,7.85,30.23%,0.2756,USD
CMP-1575,NSC,Nexus Software Corp,TECHNOLOGY,2023-12-31,"$ 61,423,853,528.43",15289072785.64, 12422462607.10 ,10.95,0.2489,,USD
CMP-1073,GT,genepure therapeutics,health care,2023-06-30,"21,046,334,223.35",5947747854.72,"4,690,033,449.01",6.06,0.2826,22.28,USD
CMP-1817,SWP,Sterling Wealth Partners,FINANCE,FY2023, 96376045388.65 ,"29,027,295,623.88", 22294282460.89 ,3.78,0.3012,23.13,USD
CMP-1543,VL,Vanguard Logistics,industrials,2023-09-30,18498205720.19,1238748984.06,446807029.67,0.763,6.70,0.0242,USD
CMP-1030,,vitas health systems,Healthcare,2024/06/30,531332314.08, -146025086.27 ,(162552385.40),(6.24),-0.2748,-30.59,usd
CMP-1321, AH ,Apex Hydrocarbons, Oil & Gas ,2021,24893609390.26,4915497128.63,"3,600,197,640.86",$ 4.29,19.75,0.1446,USD
CMP-1502,AQC,Apex Quantum Corp,IT,03/31/2021,#VALUE!, 9215830423.88 ,6.95B,4.0474,15.22%,0.1148,USD
CMP-1645,AF,Apex Financial,Fin Services,FY2022,29.25B,"$7,735,445,729.72","6,418,104,638.52",$ 10.00,0.2644,21.94%,USD
CMP-1103,CFC,Continental Freight Corp,INDUSTRIALS,31-03-2021,36191747510.20,"USD 2,771,682,691.99",1366973145.9,0.71,#VALUE!,3.78,EUR
CMP-1703,SWP,STERLING WEALTH PARTNERS,Financials,06/30/2022,"$ 52,102,195,488.03","$13,798,977,542.23",USD 10.97B,6.31,N/A,21.06,$
CMP-1173,AF,Apex Financial, Financial Services ,03/31/2022,$ 65.36B,"$18,406,648,098.82",14.14B,USD 9.32,0.2816,21.63,USD
CMP-1853,VL,Vanguard Logistics,Manufacturing ,2021-06-30,"20,707,692,052.12",1979576632.39,US$ 947.39M,2.7,0.0956,4.58,USD
CMP-1451,BCG,  Beacon Capital Group  ,Financials,03/31/2024,"96,657,183,261.79","$ 45,299,497,072.44",42062347867.55,22.68,46.9%,43.52,USD
CMP-1171,OAM,Orbital Aerospace Mfg,Industrial,2021-09-30,"18,168,099,280.86",US$ 3.20B,"$ 2,419,976,223.47",3.8,17.63%,13.3%,USD
CMP-1097,AHM,atlas heavy machinery,Manufacturing ,2022/09/30,"USD 37,926,916,677.00",994965901.01,63469253.94,$ 0.06,0.0262,0.2%,EUR
CMP-1540,AD,Aeroflux Dynamics,Ind.,Q1 2024,29226501650.66, 5099654470.43 ,,-,17.45%,10.67%,-
CMP-1233,TB,TRENDSET BRANDS,consumer cyclical,2023-06-30,40299146263.88,"$ 2,676,882,350.77",#VALUE!,-,6.6%,0.61%,USD
CMP-1361,VTC,Vanguardian Trust Co,Banking & Finance,2024-03-31,58180413912.37,10837684314.32,"$7,329,427,028.26",$5.01,18.63,0.1260,USD
CMP-1192,AD,AEROFLUX DYNAMICS,Industrial,FY2023,USD 16.09B,$2.73B,$1.67B,USD 3.17,16.97,10.37,USD
CMP-1313,MS,MicroLogic Systems,IT,12/31/2022,"31,632,639,039.24",10273617691.73,"$36,377,534,895.13",19.3,32.48,115.0%,None
CMP-1477,PSC,Precision Systems,Ind.,2023/03/31,4033009554.36,"$ 486,631,345.49",313.55M,$ 2.86,12.07%,0.0777,USD
CMP-1913,OG,OmniSoft Group, Tech ,2023-06-30,"71,819,902,386.31", 18162052651.40 ,null,6.7742,25.29%,21.13%,USD
CMP-1029,PSC,Precision Systems Corporation,Manufacturing ,FY2021,20569920919.43,"3,231,920,986.40","$1,979,197,615.71",5.17,15.71%,9.6%,USD
CMP-1160,VRI,Vortex Resources Inc,Energy,2023-03-31,73217082186.64,"2,810,052,534.79",-211749843.51,(0.11),3.84%,-0.0029,USD
CMP-1187,FGHI,Foundry Global Heavy Industries,Manufacturing ,FY2023,US$ 29.17B,"USD 4,111,389,859.30",2909415201.83,4.802,14.09,9.97%,USD
CMP-1210,BL,BioGenix Laboratories,HEALTHCARE,2023-03-31,$924.08M,TBD,"(167,997,015.85)",(9.41),(11.7%),-0.1818,USD
CMP-1246,PFH,pinnacle financial holdings,Fin Services,2023/12/31,"57,741,111,750.38",21478697595.56,17482771682.21,15.009,0.372,30.28,
CMP-1700,ah,Apex Hydrocarbons,Energy & Power,2021-12-31,"$54,529,995,407.08",8318792519.44,6443962041.62,3.40,N/A,0.1182,USD
CMP-1350,NI,NovaTherapeutics Inc,Bio/Pharma,2021-09-30,33778789491.04,2611806943.99, 1359884227.49 ,-,7.73%,#VALUE!,USD
CMP-1175,GT,GenePure Therapeutics,HEALTHCARE,Q4 2022,$ 51.63B,"USD 12,443,917,808.44",9810696116.20,7.41,24.10,19.00,USD
CMP-1955,SLB,Summit Leisure Brands,Retail & Consumer,12/31/2024,12909971963.45,439563819.62,N/A,(USD 0.84),N/A,-1.72,USD
CMP-1046, VTC ,Vanguardian Trust Co,Financial Services,2024-03-31,"USD 108,080,041,442.45",USD 14.70B,10649707575.77,4.7,13.60,9.9%,USD
CMP-1605,PHG,pulse health group,Bio/Pharma,2021/06/30,"$ 8,768,137,325.94","2,563,685,976.90",2112320813.33,NA,29.24%,24.09%,USD
CMP-1283,BI,  ByteWave Interactive  ,Information Technology,2021-12-31,"$12,967,262,117.61",USD 4.89B,"$ 4,352,442,324.11",$19.29,37.73%,33.56,USD
CMP-1263,AHM,ATLAS HEAVY MACHINERY,Manufacturing ,FY2024, 3765145552.40 ,"411,984,239.87",USD 176.44M,1.75,10.94,4.7%,USD
CMP-1135,NSC,Nexus Software Corp,Tech,30-06-2023,$ 13.04B,2750741967.43,"2,399,455,113.21",8.1,21.10%,18.40,USD
CMP-1499,PE,Pioneer Equipment,INDUSTRIALS,2024,US$ 26.01B,"$ 3,947,528,927.76","$ 2,503,480,252.37",2.8,0.1518,9.62,USD
CMP-1079, AQC ,Apex Quantum Corp,IT,06/30/2024,40324079750.73,"17,929,726,307.54","16,774,034,411.77",14.36,0.4446,0.416,CAD
CMP-1920,NAI,  NextGen Apparel Inc  ,consumer cyclical,09/30/2021,$34.29B,$ 1.27B,"-350,580,591.51",($0.35),0.0371,-1.02,USD
CMP-1279,TB,TrendSet Brands,,FY2022,17866201031.31,"865,647,397.32","71,813,503.08",0.20,0.0485,0.40,usd
CMP-1748,GRB,,Financials,30-09-2023,"20,084,553,470.11",5848832751.51,"5,285,096,691.81",4.94,29.12,26.3%,USD
CMP-1570,AB,Aegis BioLabs,Bio/Pharma,Q3 2023,17624480173.13,2816012961.26,2157494493.35,5.03,16.0%,12.24%,USD
CMP-1193, GT ,GenePure Therapeutics,Health Care,2024-06-30,22604201867.10,-5002716293.04,-6288331684.86,(9.83),-22.13,-0.2782,usd
CMP-1215,VM,Velocity Motors,Retail & Consumer,FY2023,1333565026.77,104208111.72,59621874.69,1.76,0.0781,0.0447,USD
CMP-1366,VRB,VELOX RETAIL BRANDS,Consumer Discretionary,2024-12-31,TBD,"$ 8,562,321,262.07",7440887035.37,NA,18.9%,16.44,USD
CMP-1948,VRI,Vortex Resources Inc,ENERGY,12/31/2021, 78299318598.26 , 31674020637.62 ,"30,044,610,262.02",19.89,40.45,38.37,USD
CMP-1565, BCG ,Beacon Capital Group,Financial Services,FY2022,"USD 99,256,870,961.06",#VALUE!,$23.20B,USD 6.54,30.29,23.37%,USD
CMP-1505,VHS,Vitas Health Systems,Health Care,2023-12-31,8277107022.37,2864054303.33,"2,418,672,460.51",8.66,34.60%,29.22%,USD
CMP-1089,TPC,TerraGreen Power Co,Enrgy,2024-09-30,76428947921.37,,$28.08B,USD 8.44,40.15,36.7%,usd
CMP-1421,MS,  MicroLogic Systems  ,technology,Q3 2021,1927179943.47,,213818871.43,$ 6.50,0.1351,11.09,USD
CMP-1085,GRB,Global Reserve Bank,Banking & Finance,2022/03/31,USD 108.67B,US$ 31.20B,"$27,961,747,518.49",4.66,28.71,null,USD
CMP-1634,SEG,Solaris Energy Group,ENERGY,Q1 2023,USD 74.25B,"($ 19,989,077,730.36)",(22598495752.69),-USD 5.47,-0.2692,-30.44,USD
CMP-1305,OAM,Orbital Aerospace Mfg,Industrials,FY2023,-,6171449654.59,5232013100.96,7.39,15.77%,13.37,USD
CMP-1731,AD,Aeroflux Dynamics,Manufacturing ,06/30/2024,"17,761,334,285.61",2906690591.50,1756336846.25,4.4,16.37%,9.89,USD
CMP-1452,AB,Aegis BioLabs,Healthcare,2022-06-30,32426758892.54,"$ 10,653,627,727.03","$ 8,857,702,596.99",$13.79,32.85%,27.32%,USD
CMP-1382,IG,infocore global,Tech,2024-03-31, 56567759822.74 ,US$ 8.82B,7258215325.53,7.655,15.59,12.83%,USD
CMP-1284,SAI,Synapse AI Inc.,Tech,2023/03/31,35763862841.18,"2,601,063,768.02",1395436766.91,2.31,0.0727,3.9%,USD
CMP-1952,AB,aegis biolabs,health care,FY2024,43.83B,"$3,396,619,804.49",1037741348.69,$0.99,7.75,2.37%,usd
CMP-1316,ALG,Aura Lifestyle Goods,Consumer Discretionary,2024-06-30,15297846068.20,US$ 1.96B,1491490809.93,4.2,12.80%,9.7%,USD
CMP-1782,PFH,PINNACLE FINANCIAL HOLDINGS,Fin Services,2022,22794069583.59,6888974452.32,"$ 5,996,815,976.99",USD 13.68,30.22,26.31%,USD
CMP-1220,SEG,solaris energy group, Oil & Gas ,03/31/2023,13.44B,"$ 5,800,134,782.01","$ 5,084,659,543.40",8.66,43.17,37.84,None
CMP-1794,AQC,Apex Quantum Corp, Tech ,Q3 2021, 63633404937.34 ,16813988184.57,"12,367,195,814.55",5.0273,0.2642,19.4%,USD
CMP-1040,TB,TrendSet Brands,consumer cyclical,2024-06-30,2338555271.36,426543822.34,"377,833,139.18",$6.15,18.24,16.16,USD
CMP-1125,CH,Crestview Holdings,FINANCE,FY2024, 92746511490.76 ,23150786582.18,"$ 18,883,688,845.72",10.862,24.96,20.36%,USD
CMP-1239,VRI,vortex resources inc,Energy,2024,78.83B,9895463778.3,"$8,172,943,291.20",$ 4.34,12.55%,10.37%,USD
CMP-1114,GT,genepure therapeutics,Healthcare,2023/03/31,"USD 37,970,954,781.36",-5924723609.91,(USD 8.23B),-9.93,999%,-21.67,USD
CMP-1337,AD,Aeroflux Dynamics,Industrial,Q2 2023,"32,833,915,594.51",null,$ 30.87M,0.04,4.58,0.1%,$
CMP1804,MLR,Metro Living Retail,Cons. Cyclical,2022-03-31,"$ 53,963,373,141.95",7938414685.3,4929686380.6,3.81,14.71%,9.1%,USD
CMP-1627,BI,ByteWave Interactive, Tech ,2022-12-31,50646922615.75,-4895380613.79,-5933449616.14,(4.20),-0.0967,-11.72,USD
CMP-1274,VTC,Vanguardian Trust Co,Fin Services,31-12-2024,91395039929.49,30507868640.22,"27,117,696,828.34",$ 12.90,0.3338,29.67,USD
CMP-1154,,METRO LIVING RETAIL,Retail & Consumer,30-06-2021,"$5,687,857,746.86","USD 298,688,782.16","139,234,987.54",0.57,5.3%,N/A,usd
CMP-1447, SLB ,SUMMIT LEISURE BRANDS,Consumer Discretionary,FY2021,"$ 22,752,939,062.59",2282648342.67,1036221696.51,0.69,10.03%,4.55%,USD
CMP-1497, VTC ,Vanguardian Trust Co, Financial Services ,12/31/2023,63429734768.08,"$16,141,269,436.41",$12.59B,10.9301,25.45%,0.1985,USD
CMP-1407,BCC,BlueStone Credit Corp,FINANCE,2024/12/31,"16,712,031,775.76",US$ 4.65B,"$ 3,872,431,460.28",USD 5.72,27.85%,23.17,None
CMP-1256,NAI,NextGen Apparel Inc,Retail & Consumer,03/31/2023,3275562943.33,"188,659,467.07","(1,034,684.46)",-0.015,5.76%,null,usd
CMP-1651,MLR,metro living retail,Retail & Consumer,30-09-2022,"$32,686,495,352.30",$3.27B,2492559487.91,3.3,9.99,7.63,None
CMP-1354,VRB,VELOX RETAIL BRANDS,Cons. Cyclical,2022-12-31,35646361807.09,"$ 2,311,269,417.09",($53.93M),(0.03),0.0648,(0.2%),USD
CMP-1935,ngc,Nordic Gas Corp,Enrgy,2022/12/31,"15,749,215,367.70",USD 290.00M, -475412205.83 ,($1.55),0.0184,(3.0%),USD
CMP-1868, ALG ,Aura Lifestyle Goods,Consumer Cyclical,2021-06-30,"USD 15,560,720,711.60",2170339604.91,17894828818.34,USD 68.49,0.1395,115.00,USD
CMP-1102,CH,Crestview,Fin Services,FY2022,45100214252.01,"USD 17,834,222,789.06",14796162814.52,19.48,39.54%,32.81,usd
CMP-1380,IG,InfoCore Global,Tech,31-12-2024,"15,024,454,659.05",1.52B,"816,211,449.39",1.05,10.11,5.4%,USD
CMP-1136,CS,CyberNova Systems,N/A,30-09-2024,15582525161.27,4825661274.36,,12.0,31.0%,26.60%,USD
CMP1820,LMI,luxe motors international,Consumer Cyclical,12/31/2021,53.65B,5395964365.87,1.81B,USD 0.63,10.06,3.37,USD
CMP1241,AF,Apex Financial,Banking & Finance,2022,USD 38.04B,"15,512,537,008.72","$ 13,725,612,665.46",18.3,0.4078,36.08%,USD
CMP-1827,OMG,OmniCare Medical Group,Healthcare,FY2021,"52,601,814,727.74",-1692241392.79,"($3,130,695,677.54)",-1.810,-3.22%,-5.95%,USD
CMP-1876,VRI,Vortex Resources Inc,Energy,03/31/2023,"USD 1,149,967,429.76","292,529,042.63", 245886508.07 ,$ 7.08,25.44%,21.38,USD
CMP-1389,SI,SteelCore Industries,,12/31/2023,USD 23.91B,"736,529,107.54",,-2.0691,3.08,-3.88,USD
